symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1180497600000,2007-05-30,2007-05-30 00:00:00,45.79,45.8,45.75,45.8,1550,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1180584000000,2007-05-31,2007-05-31 00:00:00,45.79,45.8,45.79,45.8,11200,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1180670400000,2007-06-01,2007-06-01 00:00:00,45.81,45.81,45.81,45.81,1450,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1180929600000,2007-06-04,2007-06-04 00:00:00,45.82,45.82,45.82,45.82,1050,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181016000000,2007-06-05,2007-06-05 00:00:00,45.83,45.84,45.82,45.82,3750,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181102400000,2007-06-06,2007-06-06 00:00:00,45.82,45.84,45.82,45.84,9750,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181188800000,2007-06-07,2007-06-07 00:00:00,45.82,45.83,45.82,45.83,12150,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181275200000,2007-06-08,2007-06-08 00:00:00,45.84,45.84,45.81,45.84,7850,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181534400000,2007-06-11,2007-06-11 00:00:00,45.84,45.86,45.84,45.86,2400,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181620800000,2007-06-12,2007-06-12 00:00:00,45.86,45.86,45.82,45.82,3900,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181707200000,2007-06-13,2007-06-13 00:00:00,45.82,45.86,45.82,45.86,3750,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181793600000,2007-06-14,2007-06-14 00:00:00,45.88,45.88,45.88,45.88,13400,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1181880000000,2007-06-15,2007-06-15 00:00:00,45.9,45.92,45.87,45.92,1050,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182139200000,2007-06-18,2007-06-18 00:00:00,45.91,45.94,45.9,45.93,28000,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182225600000,2007-06-19,2007-06-19 00:00:00,45.93,45.93,45.93,45.93,850,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182312000000,2007-06-20,2007-06-20 00:00:00,45.92,45.95,45.92,45.94,3100,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182398400000,2007-06-21,2007-06-21 00:00:00,45.93,45.95,45.93,45.94,850,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182484800000,2007-06-22,2007-06-22 00:00:00,45.95,45.98,45.95,45.98,2200,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182744000000,2007-06-25,2007-06-25 00:00:00,45.95,45.96,45.95,45.96,29700,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182830400000,2007-06-26,2007-06-26 00:00:00,45.96,45.97,45.95,45.97,5100,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1182916800000,2007-06-27,2007-06-27 00:00:00,45.98,45.98,45.96,45.96,8200,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183003200000,2007-06-28,2007-06-28 00:00:00,45.98,45.98,45.98,45.98,900,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183089600000,2007-06-29,2007-06-29 00:00:00,45.98,46.0,45.97,46.0,5650,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183348800000,2007-07-02,2007-07-02 00:00:00,46.013166346761,46.053343745885,46.00312199697999,46.013166346761,13050,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183435200000,2007-07-03,2007-07-03 00:00:00,45.983033297418,46.013166346761,45.983033297418,46.013166346761,3000,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183608000000,2007-07-05,2007-07-05 00:00:00,46.00312199697999,46.013166346761,45.972988947637,46.013166346761,5450,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183694400000,2007-07-06,2007-07-06 00:00:00,46.023210696541994,46.03325504632299,46.023210696541994,46.03325504632299,3800,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1183953600000,2007-07-09,2007-07-09 00:00:00,46.00312199697999,46.043299396104,46.00312199697999,46.043299396104,3950,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184040000000,2007-07-10,2007-07-10 00:00:00,46.03325504632299,46.053343745885,46.03325504632299,46.053343745885,5250,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184126400000,2007-07-11,2007-07-11 00:00:00,46.053343745885,46.053343745885,46.013166346761,46.053343745885,9100,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184212800000,2007-07-12,2007-07-12 00:00:00,46.063388095666,46.063388095666,46.043299396104,46.063388095666,14700,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184299200000,2007-07-13,2007-07-13 00:00:00,46.063388095666,46.073432445447,46.053343745885,46.073432445447,13050,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184558400000,2007-07-16,2007-07-16 00:00:00,46.093521145009,46.093521145009,46.063388095666,46.083476795228,16150,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184644800000,2007-07-17,2007-07-17 00:00:00,46.10356549479,46.10356549479,46.063388095666,46.10356549479,46500,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184731200000,2007-07-18,2007-07-18 00:00:00,46.083476795228,46.093521145009,46.053343745885,46.093521145009,5450,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184817600000,2007-07-19,2007-07-19 00:00:00,46.10356549479,46.113609844570995,46.073432445447,46.10356549479,13900,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1184904000000,2007-07-20,2007-07-20 00:00:00,46.133698544133,46.133698544133,46.123654194352,46.123654194352,8000,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185163200000,2007-07-23,2007-07-23 00:00:00,46.123654194352,46.133698544133,46.113609844570995,46.123654194352,6950,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185249600000,2007-07-24,2007-07-24 00:00:00,46.123654194352,46.133698544133,46.113609844570995,46.123654194352,9350,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185336000000,2007-07-25,2007-07-25 00:00:00,46.133698544133,46.143742893913995,46.133698544133,46.133698544133,9800,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185422400000,2007-07-26,2007-07-26 00:00:00,46.133698544133,46.153787243695,46.10356549479,46.143742893913995,41050,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185508800000,2007-07-27,2007-07-27 00:00:00,46.133698544133,46.204008992599995,46.013166346761,46.163831593476,153800,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185768000000,2007-07-30,2007-07-30 00:00:00,46.153787243695,46.173875943256995,46.123654194352,46.123654194352,10300,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185854400000,2007-07-31,2007-07-31 00:00:00,46.18392029303799,46.18392029303799,46.163831593476,46.18392029303799,54000,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1185940800000,2007-08-01,2007-08-01 00:00:00,46.179332359666724,46.1894173852967,46.13899225714682,46.169247334036754,18650,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186027200000,2007-08-02,2007-08-02 00:00:00,46.13899225714682,46.179332359666724,46.12890723151684,46.179332359666724,49750,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186113600000,2007-08-03,2007-08-03 00:00:00,46.199502410926684,46.20958743655666,46.15916230840678,46.15916230840678,26200,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186372800000,2007-08-06,2007-08-06 00:00:00,46.20958743655666,46.21967246218664,46.1894173852967,46.20958743655666,22300,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186459200000,2007-08-07,2007-08-07 00:00:00,46.21967246218664,46.22975748781662,46.179332359666724,46.21967246218664,13950,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186545600000,2007-08-08,2007-08-08 00:00:00,46.21967246218664,46.22975748781662,46.1894173852967,46.199502410926684,19750,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186632000000,2007-08-09,2007-08-09 00:00:00,46.22975748781662,46.26001256470654,46.21967246218664,46.2398425134466,103150,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186718400000,2007-08-10,2007-08-10 00:00:00,46.270097590336526,46.2801826159665,46.26001256470654,46.270097590336526,112100,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1186977600000,2007-08-13,2007-08-13 00:00:00,46.270097590336526,46.29026764159648,46.26001256470654,46.2801826159665,71800,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1187064000000,2007-08-14,2007-08-14 00:00:00,46.270097590336526,46.29026764159648,46.26001256470654,46.270097590336526,130650,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1187150400000,2007-08-15,2007-08-15 00:00:00,46.29026764159648,46.31043769285644,46.270097590336526,46.2801826159665,40400,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1187236800000,2007-08-16,2007-08-16 00:00:00,46.2801826159665,46.39111789789625,46.2801826159665,46.34069276974637,122850,0.0
BIL.US,道富SPDR彭博1-3个月美国国债ETF,1187323200000,2007-08-17,2007-08-17 00:00:00,46.2398425134466,46.38103287226628,46.22975748781662,46.3709478466363,84750,0.0
